,Airport,ICAO,Country
0,Amderma Airport,ULDD,Russia
1,Kirovsk-Apatity Airport (Khibiny),ULMK,Russia
2,Talagi Airport,ULAA,Russia
3,Vaskovo Airport,ULAH,Russia
4,Cherepovets Airport,ULWC,Russia
5,Khrabrovo Airport,UMKK,Russia
6,Murmansk Airport,ULMM,Russia
7,Naryan-Mar Airport,ULAM,Russia
8,Besovets Airport,ULPB,Russia
9,Pskov Airport,ULOO,Russia
10,Pulkovo Airport,ULLI,Russia
11,Syktyvkar Airport,UUYY,Russia
12,Ukhta Airport,UUYH,Russia
13,Usinsk Airport,UUYS,Russia
14,Varandey Airport,ULDW,Russia
15,Velikiy Ustyug Airport,ULWU,Russia
16,Vologda Airport,ULWW,Russia
17,Vorkuta Airport,UUYW,Russia
18,Belgorod International Airport,UUOB,Russia
19,Bryansk International Airport,UUBP,Russia
20,Ivanovo Yuzhny Airport,UUBI,Russia
21,Kaluga (Grabtsevo) Airport,UUBC,Russia
22,Kostroma Airport,UUBA,Russia
23,Kursk Vostochny Airport (Khalino),UUOK,Russia
24,Lipetsk Airport,UUOL,Russia
25,Moscow Domodedovo Airport,UUDD,Russia
26,Sheremetyevo International Airport,UUEE,Russia
27,Vnukovo International Airport,UUWW,Russia
28,Zhukovsky International Airport (Ramenskoye),UUBW,Russia
29,Ostafyevo International Business Airport,UUMO,Russia
30,Sasovo Airport,UUBG,Russia
31,Smolensk North Airport,UUBS,Russia
32,Stary Oskol Airport,UUOS,Russia
33,Tambov Donskoye Airport,UUOT,Russia
34,Semyazino Airport,UUBL,Russia
35,Voronezh International Airport (Chertovitskoye),UUOO,Russia
36,Pridacha Airport,UUOD,Russia
37,Tunoshna Airport,UUDL,Russia
38,Bugulma Airport,UWKB,Russia
39,Buguruslan Severny Airport,UWWB,Russia
40,Cheboksary International Airport,UWKS,Russia
41,Izhevsk Airport,USII,Russia
42,Kazan International Airport,UWKD,Russia
43,Pobedilovo Airport,USKK,Russia
44,Begishevo Airport,UWKE,Russia
45,Strigino International Airport,UWGG,Russia
46,Soldatskaya Tashla Airport,UWLS,Russia
47,Orenburg Tsentralny Airport,UWOO,Russia
48,Orsk Airport,UWOR,Russia
49,Penza Airport,UWPP,Russia
50,Perm International Airport (Bolshoye Savino),USPP,Russia
51,Kurumoch International Airport,UWWW,Russia
52,Bezymyanka Airport,UWWG,Russia
53,Saransk Airport,UWPS,Russia
54,Gagarinsky International Airport,UWSG,Russia
55,Saratov Tsentralny Airport,UWSS,Russia
56,Ufa International Airport,UWUU,Russia
57,Ulyanovsk Baratayevka Airport,UWLL,Russia
58,Ulyanovsk Vostochny Airport,UWLW,Russia
59,Yoshkar-Ola Airport,UWKJ,Russia
60,Vityazevo Airport,URKA,Russia
61,Narimanovo Airport,URWA,Russia
62,Elista Airport,URWI,Russia
63,Gelendzhik Airport,URKG,Russia
64,Krasnodar International Airport (Pashkovsky),URKK,Russia
65,Platov International Airport,URRP,Russia
66,Sochi International Airport,URSS,Russia
67,Taganrog South Airport [ru],URRT,Russia
68,Volgograd International Airport (Gumrak),URWW,Russia
69,Yeysk Airport,URKE,Russia
70,Grozny Airport,URMG,Russia
71,"Magas Airport (Oskanov, Sleptsovskaya)",URMS,Russia
72,Uytash Airport,URML,Russia
73,Mineralnye Vody Airport,URMM,Russia
74,Nalchik Airport,URMN,Russia
75,Shpakovskoye Airport,URMT,Russia
76,Beslan Airport,URMO,Russia
77,Beloyarsk Airport,USHQ,Russia
78,Beryozovo Airport,USHB,Russia
79,Bovanenkovo Airport,USDB,Russia
80,Balandino Airport,USCC,Russia
81,Igrim Airport,USHI,Russia
