,origin,destination,day
206,UUEE,RJTT,2022-01-01
353,UUEE,RKSI,2022-01-01
512,UUDD,UIII,2022-01-01
538,UUEE,UIII,2022-01-01
1588,UUEE,OMDB,2022-01-01
1655,UUDD,USSS,2022-01-01
3202,UUEE,UMMS,2022-01-01
3451,UUWW,OMDB,2022-01-01
3995,UUWW,OMDW,2022-01-01
4307,UUEE,UUEE,2022-01-01
4720,UUWW,LTFM,2022-01-01
5543,UNWW,UUDD,2022-01-01
5839,UIII,UUWW,2022-01-01
5891,UUEE,OMDB,2022-01-01
6570,UNTT,UUDD,2022-01-01
6725,UNEE,UUWW,2022-01-01
7173,UNEE,UUDD,2022-01-01
8427,ULMM,UUDD,2022-01-01
8630,UIII,UUDD,2022-01-01
8846,UIII,UUEE,2022-01-01
9817,USPP,UUDD,2022-01-01
10336,USPP,UUEE,2022-01-01
10756,UUDD,WSSS,2022-01-01
10778,UUEE,UUEE,2022-01-02
10909,UUEE,EHAM,2022-01-01
11510,URWA,UUEE,2022-01-01
11851,UUEE,UUEE,2022-01-01
11958,UHWW,RKSI,2022-01-01
12009,UUDD,EDDM,2022-01-01
12197,UUDD,USSS,2022-01-01
12552,UHWW,UUEE,2022-01-01
12557,UUEE,EDDM,2022-01-01
12619,UUEE,WSSS,2022-01-01
12668,UUDD,UUDD,2022-01-01
13168,UUWW,LTFM,2022-01-01
13318,UUEE,UUEE,2022-01-01
13358,UUEE,ULMM,2022-01-01
13475,USSS,UUDD,2022-01-01
13636,UUWW,UNTT,2022-01-01
14061,UUEE,UIII,2022-01-01
14251,UUWW,URWA,2022-01-01
14422,UUEE,LHBP,2022-01-01
14482,UUEE,URKA,2022-01-01
14512,UUEE,LEMD,2022-01-01
14671,UUWW,LIRP,2022-01-01
15035,UUEE,LEMG,2022-01-01
15431,UUWW,UUWW,2022-01-01
15500,UUWW,UUWW,2022-01-01
15778,UUEE,OMDB,2022-01-01
15787,UUWW,OMDB,2022-01-01
15872,UUEE,UUEE,2022-01-01
15888,UUDD,URKA,2022-01-01
15894,UUEE,LFLL,2022-01-01
15979,UUEE,LIMC,2022-01-01
16146,UUWW,EDDK,2022-01-01
16326,UUEE,LDVA,2022-01-01
16398,UUEE,LSZH,2022-01-01
